song_name,artist_name,primary_feeling
Thunderstruck ,AC/DC,Upbeat 
stairway to heaven,led zepplin,it is a masterpiece that will never be duplicated
Master of Puppets ,Metallica ,Energized
Kryptonite ,Three Doors Down,Energized
Thriller,Michael Jackson,Happy
Neon moon ,Brooks and dunn,Happy 
Stairway to heaven ,Led Zeppelin ,Makes me feel youo
Follow,Imagine Dragons,Feel good and not alone
Us and them,Pink floyd,Powerful
For the love of you ,Ronald Isley ,Love 
Fake It,Seether ,Contented 
Walk Like An Egyptian,The Bangles,Takes me back to high school years and the fun times I had!
The Voice ,Celtics Women ,Joy
Breath,Everncesense ,Hope and sense of energy
Mannish Boy,Muddy Waters ,Blues
Every Chance I get,Dj khaled,It gives me joy 
Fucking Determined ,Mudvayne,My mom told me that I couldn’t survive without her 
Enchanted,Taylor Swift,Comfort
Walk in My Shoes,Depeche Mode,Strength
Iron man,Black sabbath ,Joy
Red Guitar,Kris Allen,Warmth
Magic Power,Triumph,It takes me on a musical journey
Make itva better place,Michael jackson,peace
perfect,ed shareen,calm
Pop,Laura pausini,Not sure
Celibate Now,Girl in a Coma,Euphoria
Man in the mirror,Michael Jackson,The song inspires me to be better and thankful for what I have.
david,mike,very good
Blame it on Me,Morgan Wallen,Good vibes
One Dance,Drake,amazing
It's My Life,Bon Jovi,Strength
Piece,drake,good
Cassidy,Grateful Dead,Peace and tranquility
Shpe of you,Ed sheeran,Happy
The end,The doors,Nostalgia
Lengardry,Ed sheram,good
thunder,imagine dragons,power
one love,bob marly,nice
Had enough,Breaking Benjamin,Reheat
Dancing with the stars,Jeffie stave,Having the best time and having fun
What do I have to do,Stabbing westward,Understanding
Mountains,Prince,Serenity
Wind beneath my wings,Bette milder,It makes feel inspired and motivated to be my best
Lonely Boy,The Black Keys,Upbeat
Move Bitch,Ludacris,Rage
When I’m gone ,Three doors down ,It gives me mixed emotions it causes sadness and pleasure 
Ghetto cowboy ,Bone thugs n harmony ,It is how I live 
Juicy ,Doja cat,Sexy 
I will always love you ,Whitney Houston ,"The primary feeling of the song I Will Always Love You by Whitney Houston is deep love mixed with sadness and letting go. It expresses emotional farewell, gratitude, and enduring affection."
Opus,Eric Prydz,Joy
Dream chasers ,Meek mill,I love how it makes me feel happy 
Wear my thug at,Bone thugs ,Good 
Gods bathroom floor ,Atmosphere ,Peaceful
I'll pray for you,Not sure,Happiness 
Croetia,Karol G,"Like a longing, sexual energy and very happy "
Wonderwall,Oasis,Nostalgia 
Name,Goo Goo Dolls,Nostalgia 
Dani California,Red Hot Chili Peppers ,Fun
What u need,Tems,Makes me feel like I want to sing 
Outside the Rain,Stevie Nicks,Joy
lonely child,yb,it is a song with a power speech
Fasho ,Fasho ,Yes
Don’t doubt the god,Montana of 300,Energy and motivation 
Redemption song,Bob marley ,Eye of the tiger strength culture and motivation 
Strangers,The Kinks,Bliss
Boulevard of broken dreams,Green Day,Comfort
Shake it off,Taylor swift,Happiness
Soss,Chief keef,It makes me feel exited
Man in the mirror ,Michael Jackson ,Hope
Live to me,Jose ,Awesome 
Black hole sun,Soundgarden,Happiness 
Yeah ,Usher,Excitement 
Love me ,Lil wayne,The words
Choices,George Jones,Inspiration inspired
Glycerine ,Bush,Nostalgia 
To live and die in LA,2pac,"My city, my hometown"
Disconnected ,Avaitors ,Loneliness 
Dollhouse,Melanie Martinez,I like the trapped feeling that it gives me.
Smsms,And fk,Djdidjf
Won’t back down,Johnny cash,Motivates me
Diabolic,Slipknot,Greatness
Norfolk,Gherbo,Good
Ms jackson,Outcasts ,Happy and joy
Are we still good ,H.E.R,Soothing 
Look back at it ,A boogie ,Makes me feel calm and relaxed 
Butterflies ,Michael Jackson ,Happiness 
Sensing ,Chris brown ,I love to get motivated and inspired 
daughter,pearl jam,makes me sad thinking about my dad
Don’t Change,Musiq Soulchild,Love
Chick Chick Boom,Stray Kids,Fun
Circle of life,Carmen twillie,Nostalgia 
Volver Volver,Vicente Fernandez,Uplift
Piano man ,Billy Joel,Nostalgia 
The only ,The first time ,The only way I could do 
Favorite thing,Sophie rose,Happiness
Faded ,Alan Walker ,Happiness 
What’s my age again,Blink-182,Everytime I listen to this song it nostalgically reminds me of my age.
Heartache,Backstreet Boys,Nostalgia and calming.
Walk,Pantera,Confidence 
billie jean,mj,yylh
let me love you,mario,satisfaction
Love song,Taylor swift ,Vibes 
Believer,Imagine dragons,Happy
I want it that way,Backstreet Boys,Happy
Ambition as a ridah,Tupac,Awesome 
Animals,Maroon 5,Makes me sing it out loud
Fast car,Luke combs,Happy
3 little birds ,Bob Marley ,Happy 
leaves ,Miguel,Whenever I listen to this song it changes all of my emotions and just makes me feel 100 times better. I love this song 
Humble,Kendrick,Hype feelings
Video vixen ,Fattmack,hurt
Ran to Atlanta,Drake,Happiness
Hotel California,The eagles,Happiness
pigs,pink floyd,happiness
Ride,King von,EXCITEMENT
